loss_b:0.6971, loss_b_eval:0.7203, train loss:0.7234, train acc:0.8066, train acc ori:0.8766,          eval acc:83.9700, time elapsed:485.3709, epoch 28 train cleaned, 6197 samples changed,          total remain noise:7353, max class noise:1351
loss_b:0.7027, loss_b_eval:0.7278, train loss:0.7521, train acc:0.8042, train acc ori:0.8784,          eval acc:85.1500, time elapsed:503.3407, epoch 29 train cleaned, 6528 samples changed,          total remain noise:6806, max class noise:1159
loss_b:0.7035, loss_b_eval:0.7261, train loss:0.7159, train acc:0.8107, train acc ori:0.8813,          eval acc:85.4400, time elapsed:521.1407, epoch 30 train cleaned, 6118 samples changed,          total remain noise:7277, max class noise:1350
loss_b:0.7151, loss_b_eval:0.7432, train loss:0.7515, train acc:0.8046, train acc ori:0.8789,          eval acc:85.0200, time elapsed:539.2677, epoch 31 train cleaned, 6576 samples changed,          total remain noise:6902, max class noise:1148
loss_b:0.7145, loss_b_eval:0.7484, train loss:0.7204, train acc:0.8079, train acc ori:0.8803,          eval acc:86.3200, time elapsed:557.1726, epoch 32 train cleaned, 6223 samples changed,          total remain noise:7258, max class noise:1323
loss_b:0.7201, loss_b_eval:0.7518, train loss:0.7418, train acc:0.8078, train acc ori:0.8811,          eval acc:85.7600, time elapsed:575.1854, epoch 33 train cleaned, 6419 samples changed,          total remain noise:6910, max class noise:1142
loss_b:0.7208, loss_b_eval:0.7357, train loss:0.7148, train acc:0.8114, train acc ori:0.8825,          eval acc:87.5900, time elapsed:593.2068, epoch 34 train cleaned, 6247 samples changed,          total remain noise:7145, max class noise:1323
loss_b:0.7243, loss_b_eval:0.7448, train loss:0.7314, train acc:0.8080, train acc ori:0.8816,          eval acc:83.4400, time elapsed:611.3004, epoch 35 train cleaned, 6380 samples changed,          total remain noise:6816, max class noise:1167
loss_b:0.7218, loss_b_eval:0.7446, train loss:0.7169, train acc:0.8111, train acc ori:0.8858,          eval acc:85.8400, time elapsed:629.1899, epoch 36 train cleaned, 6157 samples changed,          total remain noise:7053, max class noise:1315
loss_b:0.7300, loss_b_eval:0.7585, train loss:0.7310, train acc:0.8089, train acc ori:0.8837,          eval acc:84.9900, time elapsed:646.9552, epoch 37 train cleaned, 6414 samples changed,          total remain noise:6864, max class noise:1150
loss_b:0.7263, loss_b_eval:0.7475, train loss:0.7160, train acc:0.8106, train acc ori:0.8835,          eval acc:84.8800, time elapsed:664.8941, epoch 38 train cleaned, 6170 samples changed,          total remain noise:7120, max class noise:1306
loss_b:0.7278, loss_b_eval:0.7473, train loss:0.7355, train acc:0.8091, train acc ori:0.8849,          eval acc:87.2900, time elapsed:683.0457, epoch 39 train cleaned, 6336 samples changed,          total remain noise:6805, max class noise:1121
loss_b:0.7336, loss_b_eval:0.7541, train loss:0.7084, train acc:0.8140, train acc ori:0.8871,          eval acc:85.5700, time elapsed:700.9686, epoch 40 train cleaned, 6161 samples changed,          total remain noise:7113, max class noise:1310
loss_b:0.7369, loss_b_eval:0.7661, train loss:0.7290, train acc:0.8120, train acc ori:0.8878,          eval acc:87.2600, time elapsed:718.8403, epoch 41 train cleaned, 6310 samples changed,          total remain noise:6689, max class noise:1110
loss_b:0.7409, loss_b_eval:0.7615, train loss:0.6999, train acc:0.8151, train acc ori:0.8892,          eval acc:84.6100, time elapsed:736.8791, epoch 42 train cleaned, 6076 samples changed,          total remain noise:7073, max class noise:1327
loss_b:0.7380, loss_b_eval:0.7613, train loss:0.7228, train acc:0.8134, train acc ori:0.8897,          eval acc:85.7100, time elapsed:755.1235, epoch 43 train cleaned, 6291 samples changed,          total remain noise:6687, max class noise:1110
loss_b:0.7401, loss_b_eval:0.7516, train loss:0.7023, train acc:0.8155, train acc ori:0.8874,          eval acc:86.6500, time elapsed:773.3004, epoch 44 train cleaned, 6212 samples changed,          total remain noise:7078, max class noise:1313
loss_b:0.7416, loss_b_eval:0.7682, train loss:0.7232, train acc:0.8130, train acc ori:0.8873,          eval acc:87.6000, time elapsed:791.1674, epoch 45 train cleaned, 6279 samples changed,          total remain noise:6740, max class noise:1101
loss_b:0.7427, loss_b_eval:0.7649, train loss:0.7057, train acc:0.8160, train acc ori:0.8891,          eval acc:87.1100, time elapsed:808.7977, epoch 46 train cleaned, 6167 samples changed,          total remain noise:7009, max class noise:1290
loss_b:0.7463, loss_b_eval:0.7634, train loss:0.7239, train acc:0.8131, train acc ori:0.8883,          eval acc:86.6200, time elapsed:826.5749, epoch 47 train cleaned, 6283 samples changed,          total remain noise:6791, max class noise:1093
loss_b:0.7468, loss_b_eval:0.7692, train loss:0.7058, train acc:0.8151, train acc ori:0.8893,          eval acc:87.0000, time elapsed:844.1508, epoch 48 train cleaned, 6180 samples changed,          total remain noise:7085, max class noise:1294
loss_b:0.7516, loss_b_eval:0.7697, train loss:0.7166, train acc:0.8165, train acc ori:0.8921,          eval acc:86.1100, time elapsed:861.7333, epoch 49 train cleaned, 6271 samples changed,          total remain noise:6755, max class noise:1110
loss_b:0.7611, loss_b_eval:0.7617, train loss:0.6615, train acc:0.8400, train acc ori:0.9210,          eval acc:91.1000, time elapsed:879.8141, epoch 50 train cleaned, 5840 samples changed,          total remain noise:6242, max class noise:1157
loss_b:0.7650, loss_b_eval:0.7686, train loss:0.5833, train acc:0.8644, train acc ori:0.9348,          eval acc:91.6200, time elapsed:897.8954, epoch 51 train cleaned, 5632 samples changed,          total remain noise:5919, max class noise:972
loss_b:0.7617, loss_b_eval:0.7654, train loss:0.5753, train acc:0.8676, train acc ori:0.9379,          eval acc:91.8200, time elapsed:915.3837, epoch 52 train cleaned, 5509 samples changed,          total remain noise:6017, max class noise:1099
loss_b:0.7656, loss_b_eval:0.7693, train loss:0.5684, train acc:0.8703, train acc ori:0.9417,          eval acc:92.0500, time elapsed:933.2773, epoch 53 train cleaned, 5588 samples changed,          total remain noise:5716, max class noise:926
loss_b:0.7635, loss_b_eval:0.7667, train loss:0.5551, train acc:0.8750, train acc ori:0.9451,          eval acc:92.3200, time elapsed:951.3774, epoch 54 train cleaned, 5313 samples changed,          total remain noise:5933, max class noise:1067
loss_b:0.7669, loss_b_eval:0.7681, train loss:0.5637, train acc:0.8731, train acc ori:0.9473,          eval acc:92.2300, time elapsed:969.3925, epoch 55 train cleaned, 5512 samples changed,          total remain noise:5567, max class noise:918
loss_b:0.7665, loss_b_eval:0.7679, train loss:0.5386, train acc:0.8783, train acc ori:0.9490,          eval acc:92.5500, time elapsed:987.3518, epoch 56 train cleaned, 5272 samples changed,          total remain noise:5787, max class noise:1045
loss_b:0.7698, loss_b_eval:0.7749, train loss:0.5501, train acc:0.8774, train acc ori:0.9509,          eval acc:92.5600, time elapsed:1005.7707, epoch 57 train cleaned, 5380 samples changed,          total remain noise:5559, max class noise:920
loss_b:0.7687, loss_b_eval:0.7698, train loss:0.5315, train acc:0.8816, train acc ori:0.9507,          eval acc:92.5500, time elapsed:1023.7090, epoch 58 train cleaned, 5196 samples changed,          total remain noise:5765, max class noise:1031
loss_b:0.7711, loss_b_eval:0.7754, train loss:0.5433, train acc:0.8790, train acc ori:0.9517,          eval acc:92.3400, time elapsed:1041.8559, epoch 59 train cleaned, 5342 samples changed,          total remain noise:5512, max class noise:903
loss_b:0.7688, loss_b_eval:0.7691, train loss:0.5304, train acc:0.8815, train acc ori:0.9538,          eval acc:92.8200, time elapsed:1059.7916, epoch 60 train cleaned, 5140 samples changed,          total remain noise:5656, max class noise:996
loss_b:0.7723, loss_b_eval:0.7724, train loss:0.5333, train acc:0.8817, train acc ori:0.9545,          eval acc:92.3500, time elapsed:1077.8367, epoch 61 train cleaned, 5231 samples changed,          total remain noise:5447, max class noise:914
loss_b:0.7713, loss_b_eval:0.7737, train loss:0.5200, train acc:0.8846, train acc ori:0.9548,          eval acc:92.6800, time elapsed:1096.0773, epoch 62 train cleaned, 5107 samples changed,          total remain noise:5650, max class noise:985
loss_b:0.7728, loss_b_eval:0.7777, train loss:0.5264, train acc:0.8844, train acc ori:0.9576,          eval acc:92.3800, time elapsed:1114.6246, epoch 63 train cleaned, 5159 samples changed,          total remain noise:5412, max class noise:879
loss_b:0.7720, loss_b_eval:0.7737, train loss:0.5171, train acc:0.8856, train acc ori:0.9566,          eval acc:92.6800, time elapsed:1132.9310, epoch 64 train cleaned, 5019 samples changed,          total remain noise:5582, max class noise:995
loss_b:0.7745, loss_b_eval:0.7747, train loss:0.5234, train acc:0.8841, train acc ori:0.9565,          eval acc:92.7000, time elapsed:1151.2980, epoch 65 train cleaned, 5168 samples changed,          total remain noise:5414, max class noise:886
loss_b:0.7751, loss_b_eval:0.7772, train loss:0.5105, train acc:0.8862, train acc ori:0.9569,          eval acc:92.2600, time elapsed:1169.3471, epoch 66 train cleaned, 5042 samples changed,          total remain noise:5560, max class noise:956
loss_b:0.7767, loss_b_eval:0.7769, train loss:0.5188, train acc:0.8848, train acc ori:0.9570,          eval acc:92.4300, time elapsed:1187.5125, epoch 67 train cleaned, 5144 samples changed,          total remain noise:5383, max class noise:888
loss_b:0.7744, loss_b_eval:0.7747, train loss:0.5060, train acc:0.8885, train acc ori:0.9592,          eval acc:92.4800, time elapsed:1205.5718, epoch 68 train cleaned, 4951 samples changed,          total remain noise:5515, max class noise:950
loss_b:0.7763, loss_b_eval:0.7766, train loss:0.5124, train acc:0.8866, train acc ori:0.9589,          eval acc:92.2800, time elapsed:1223.7628, epoch 69 train cleaned, 5049 samples changed,          total remain noise:5330, max class noise:854
loss_b:0.7760, loss_b_eval:0.7763, train loss:0.4993, train acc:0.8894, train acc ori:0.9579,          eval acc:92.3900, time elapsed:1242.3681, epoch 70 train cleaned, 4947 samples changed,          total remain noise:5564, max class noise:945
loss_b:0.7772, loss_b_eval:0.7760, train loss:0.5091, train acc:0.8871, train acc ori:0.9597,          eval acc:92.3200, time elapsed:1261.0856, epoch 71 train cleaned, 5043 samples changed,          total remain noise:5330, max class noise:874
loss_b:0.7769, loss_b_eval:0.7799, train loss:0.4944, train acc:0.8899, train acc ori:0.9588,          eval acc:92.4400, time elapsed:1279.4502, epoch 72 train cleaned, 4945 samples changed,          total remain noise:5529, max class noise:919
loss_b:0.7765, loss_b_eval:0.7757, train loss:0.5059, train acc:0.8872, train acc ori:0.9591,          eval acc:92.3900, time elapsed:1297.9606, epoch 73 train cleaned, 4999 samples changed,          total remain noise:5353, max class noise:899
loss_b:0.7758, loss_b_eval:0.7761, train loss:0.4933, train acc:0.8903, train acc ori:0.9590,          eval acc:92.3300, time elapsed:1316.2017, epoch 74 train cleaned, 4903 samples changed,          total remain noise:5476, max class noise:923
loss_b:0.7787, loss_b_eval:0.7793, train loss:0.4998, train acc:0.8883, train acc ori:0.9587,          eval acc:92.3500, time elapsed:1334.1931, epoch 75 train cleaned, 5010 samples changed,          total remain noise:5363, max class noise:862
loss_b:0.7782, loss_b_eval:0.7810, train loss:0.4891, train acc:0.8910, train acc ori:0.9604,          eval acc:92.0300, time elapsed:1352.4249, epoch 76 train cleaned, 4837 samples changed,          total remain noise:5439, max class noise:928
loss_b:0.7787, loss_b_eval:0.7776, train loss:0.4965, train acc:0.8894, train acc ori:0.9598,          eval acc:92.2300, time elapsed:1370.2579, epoch 77 train cleaned, 4951 samples changed,          total remain noise:5318, max class noise:853
loss_b:0.7773, loss_b_eval:0.7756, train loss:0.4833, train acc:0.8925, train acc ori:0.9597,          eval acc:92.1300, time elapsed:1387.8701, epoch 78 train cleaned, 4786 samples changed,          total remain noise:5507, max class noise:934
loss_b:0.7772, loss_b_eval:0.7756, train loss:0.4962, train acc:0.8891, train acc ori:0.9598,          eval acc:91.7300, time elapsed:1405.7169, epoch 79 train cleaned, 4895 samples changed,          total remain noise:5315, max class noise:854
loss_b:0.7777, loss_b_eval:0.7789, train loss:0.4770, train acc:0.8937, train acc ori:0.9598,          eval acc:92.0200, time elapsed:1423.4732, epoch 80 train cleaned, 4775 samples changed,          total remain noise:5468, max class noise:920
loss_b:0.7785, loss_b_eval:0.7763, train loss:0.4932, train acc:0.8902, train acc ori:0.9606,          eval acc:91.8500, time elapsed:1441.8183, epoch 81 train cleaned, 4894 samples changed,          total remain noise:5274, max class noise:831
loss_b:0.7778, loss_b_eval:0.7763, train loss:0.4774, train acc:0.8928, train acc ori:0.9584,          eval acc:91.8900, time elapsed:1460.2841, epoch 82 train cleaned, 4733 samples changed,          total remain noise:5532, max class noise:917
loss_b:0.7769, loss_b_eval:0.7756, train loss:0.4903, train acc:0.8903, train acc ori:0.9603,          eval acc:91.7500, time elapsed:1478.5515, epoch 83 train cleaned, 4845 samples changed,          total remain noise:5290, max class noise:806
loss_b:0.7777, loss_b_eval:0.7762, train loss:0.4710, train acc:0.8950, train acc ori:0.9592,          eval acc:91.5400, time elapsed:1496.9009, epoch 84 train cleaned, 4705 samples changed,          total remain noise:5514, max class noise:896
loss_b:0.7785, loss_b_eval:0.7734, train loss:0.4883, train acc:0.8905, train acc ori:0.9591,          eval acc:91.7200, time elapsed:1515.2619, epoch 85 train cleaned, 4833 samples changed,          total remain noise:5303, max class noise:819
loss_b:0.7781, loss_b_eval:0.7795, train loss:0.4652, train acc:0.8953, train acc ori:0.9594,          eval acc:91.9200, time elapsed:1533.5973, epoch 86 train cleaned, 4600 samples changed,          total remain noise:5523, max class noise:893
loss_b:0.7775, loss_b_eval:0.7747, train loss:0.4867, train acc:0.8908, train acc ori:0.9588,          eval acc:91.6600, time elapsed:1551.8707, epoch 87 train cleaned, 4877 samples changed,          total remain noise:5262, max class noise:801
loss_b:0.7779, loss_b_eval:0.7770, train loss:0.4641, train acc:0.8950, train acc ori:0.9577,          eval acc:91.2900, time elapsed:1570.5133, epoch 88 train cleaned, 4642 samples changed,          total remain noise:5605, max class noise:892
loss_b:0.7765, loss_b_eval:0.7788, train loss:0.4920, train acc:0.8885, train acc ori:0.9570,          eval acc:91.7300, time elapsed:1588.7401, epoch 89 train cleaned, 4793 samples changed,          total remain noise:5340, max class noise:818
loss_b:0.7764, loss_b_eval:0.7760, train loss:0.4641, train acc:0.8954, train acc ori:0.9582,          eval acc:91.4400, time elapsed:1606.9606, epoch 90 train cleaned, 4562 samples changed,          total remain noise:5510, max class noise:889
loss_b:0.7769, loss_b_eval:0.7769, train loss:0.4786, train acc:0.8914, train acc ori:0.9570,          eval acc:91.5800, time elapsed:1625.5272, epoch 91 train cleaned, 4814 samples changed,          total remain noise:5358, max class noise:823
loss_b:0.7769, loss_b_eval:0.7739, train loss:0.4618, train acc:0.8948, train acc ori:0.9579,          eval acc:91.1600, time elapsed:1644.0916, epoch 92 train cleaned, 4532 samples changed,          total remain noise:5508, max class noise:901
loss_b:0.7764, loss_b_eval:0.7750, train loss:0.4815, train acc:0.8907, train acc ori:0.9572,          eval acc:91.4600, time elapsed:1662.3803, epoch 93 train cleaned, 4795 samples changed,          total remain noise:5334, max class noise:814
loss_b:0.7760, loss_b_eval:0.7791, train loss:0.4547, train acc:0.8970, train acc ori:0.9580,          eval acc:91.2200, time elapsed:1680.6596, epoch 94 train cleaned, 4519 samples changed,          total remain noise:5569, max class noise:892
loss_b:0.7754, loss_b_eval:0.7730, train loss:0.4792, train acc:0.8900, train acc ori:0.9567,          eval acc:91.2500, time elapsed:1699.6081, epoch 95 train cleaned, 4732 samples changed,          total remain noise:5357, max class noise:802
